Предприятия;1 декада апреля;2 декада апреля;3 декада апреля;1 декада мая;2 декада мая;3 декада мая;1 декада июня;2 декада июня;3 декада июня;1 декада июля;2 декада июля;3 декада июля;1 декада августа;3 декада августа;1 декада сентября;2 декада сентября;3 декада сентября;1 декада октября;2 декада октября;3 декада октября;1 декада ноября;2 декада ноября;3 декада ноября;1 декада декабря;2 декада декабря;3 декада декабря;1 декада января
Завод им. Воскова;0,1;0,1;0,1;0,25;0,15;0,15;0,3;0,3;0,2;0,2;0,2;0,2;0,1;0,1;0,1;0,3;0,1;0,1;0,35;0,35;0,35;0,3;0,3;0,25;0;0,2;0,2
Завод им.Свердлова;0,2;0,15;0,15;0,15;0,15;0,15;0,15;0,2;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0;0,07;0,1
Завод револьверных станков и автоматов;0,1;0,25;0,2;0,2;0,15;0,2;0,25;0,3;0,2;0,2;0,2;0,2;0,1;0,1;0,1;0,15;0,05;0,05;0,25;0,25;0,25;0,25;0,25;0,25;0;0,2;0,2
Завод режущих инструментов;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод станкопри­надлежностей;0;0;0,2;0,2;0,1;0,15;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,05;0;0;0;0;0;0;0;0;0;0;0
В распоряжение УполномоченногоНКЭП 1;0;0;0;0;0;0;1,95;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5 й монтажный трест;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0
В распоряжение Уполномоченного НК Электропромышленности для предприятий;1;0,4;0,4;0,5;0;0;0;0;2;2;2;0;1;0,6;0,6;0,3;0,75;1;0,8;0,75;0,75;0,5;0,45;0,4;0;1;1,2
Завод № 10;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод № 208;0;0;0;0;0;0;0;0;0;0;0,35;0,35;0;0;0;0,4;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0
Завод № 210;0;0,2;0,2;0,2;0,15;0,15;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод № 211;0;0;0;0;0,8;0,5;0;0;0;0;0;0,1;0;0,1;0,1;0,25;0,25;0,3;0,25;0,2;0,2;0,3;0,3;0,25;0;0;0
Завод № 327;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод «Буревестник»;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод «Ленинская искра»;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод «Пролетарий»;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0;0;0
Завод «Радист»;0;0;0;0;0,15;0,15;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод «Севкабель»;0;0;0;0;0,15;0,15;0;0;0;0;0;0,35;0;0;0;0;0;0;0,1;0,1;0,1;0,25;0,25;0,25;0;0;0
Завод «Электрик»;0;0;0;0;0,1;0,1;0;0;0;0;0;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод «Электро­аппарат»;0;0,1;0,8;0,5;0,3;0,3;0;0;0;0;0;0,15;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0
Завод «Электросила»;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ЦКТИ;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0
ГЭС ЦКТИ;0;0;0;0;0;0,15;0,15;0,2;0,15;0,15;0,15;0,15;0,15;0,1;0,1;0,1;0,05;0,05;0,075;0,075;0,075;0,075;0,05;0,05;0,05;0,05;0,1
Кабельная сеть Ленэнерго;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0,8;0,3;0,3;0;0;0,5;0;0,15
Ленгосторф;3;2,5;2,5;0;0;0;0;0;0;0;0;0;0;0;5;2;1,5;1,5;1,5;1,3;1,3;1,3;1,3;1,25;1,1;1;1,2
Ленэнерго;2;2;2;5;3;1,5;1,6;1,6;1,5;1,5;1,5;2;1,5;1;1;1;0,7;0,7;0,8;14;2;2;4,5;1,5;2,3;1;1,4
На ремонт эл.станции (Ленэнерго);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;0;0;0;0;0;0;0;0
Спецстройуправ­ление НКЭС;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Торфорабснаб;0;0,5;0,5;0,5;1;1;1;1;1;1;1;1;0;0;0,3;0,3;0,3;0,3;0,3;0,25;0,3;0,3;0,3;0,3;0,2;0,2;0,25
Трест «Свирьстрой»;0;0;0;0;0;0;0,15;0,2;0,15;0,1;0,12;0;0;0,1;0,1;0,1;0,1;0;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,1;0,15
ЦКТИ;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Главснаб НК Связи;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Дирекция радиотрансляционной сети;0,2;0,2;0,3;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,35;0,35;0,3;0,4;0,4;0,4;0,65;0,65;0,5;0,5;0,6
Дирекция радио связи;0,15;0,1;0,8;0,9;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,5;0,5;0,5;0,5;0,45;0,45;0,4;0,45;0,45;0,45;0,45;0,5;0,5;0,4;0,5
Комитет радиовещания;0,2;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,25;0,25;0,25;0,25;0,25;0,25;0,3;0,25;0,25;0,25;0,25;0,2;0,2;0,15;0,2
Лен институт инженерной связи;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,04;0,05
Ленпочтамт;2;1,5;2;2;2,2;2,1;2,2;2,2;2,2;2,5;2,5;2,5;2;2;2;2;1,7;2,5;3;3;3;3;3;3;2,5;2;2,2
ЛОУ Связи;0,3;0,3;0,4;0,4;0,5;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,6;0,6;0,6;0,6;0,6;0,6;0,72;0,7;0,7;0,7;0,7;0,65;0,6;0,5;1
Отдельный батальон связи;0;0;0;0;0;0;0;0;0;0,7;0,7;0,7;0;0,3;0,3;0,3;0,3;0,3;0,23;0,25;0,25;0,25;0,25;0,25;0,25;0,2;0,25
Отдел спецсвязи;0,15;0,15;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,22;0,25;0,25;0,25;0,25;0,2;0,2;0,15;0,2
Телефоннаядирекция;0,3;0,3;0,4;0,45;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,45;0,45;0,45;0,45;0,45;0;0;0
"УправлениеЛенинградской 
телефонной сети";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5
Центральный телеграф;0,3;0,3;0,4;0,45;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,25;0,25;0,2;0,12;0,2
