Предприятия;1 декада апреля;2 декада апреля;3 декада апреля;1 декада мая;2 декада мая;3 декада мая;1 декада июня;2 декада июня;3 декада июня;1 декада июля;2 декада июля;3 декада июля;1 декада августа;3 декада августа;1 декада сентября;2 декада сентября;3 декада сентября;1 декада октября;2 декада октября;3 декада октября;1 декада ноября;2 декада ноября;3 декада ноября;1 декада декабря;2 декада декабря;3 декада декабря;1 декада января
Канонерский завод;0;0;0;0,05;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
Ленинградский торговый порт;0,1;0,1;0,1;0,1;0,1;0,15;0,2;0,2;0,2;0,2;0,2;0,2;0;0;0;0;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05
"Завод навигационных приборов / Мастерская навигационных 
приборов и электроаппаратов";0;0,075;0,1;0,01;0,05;1;1;1;0,15;0,15;0,05;0,05;0;0,05;0,05;0,05;0;0;0,08;0;0,075;0,05;0,05;0;0;0;0,1
Мастерским БГМП;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0;0;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0
АНИОП;0;0;0;0;0;0;0;0;0;0;0;0,25;0,2;0,15;0,15;0,15;0,15;0,15;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,2;0,25
Завод «Юный водник»;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
НИМАП;0;0;0;0;0;0;0;0;0;0;0;0,15;0,15;0,15;0,15;0,15;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,15;0,2
СЗУРП;0;0;0;0;0;0;0;0;0,7;0,7;0,7;0,7;0,4;0,3;0,3;0,25;0,25;0,25;0,3;0,3;0,3;0,3;0,3;0,2;0,2;0,15;1
Судобетонверфи;0;0;0;0;0;0;0;0;0,1;0,1;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Управление речных путей С.З. бассейна;0;0;0;0;0;0;0;0;0,3;0,3;0,3;0,3;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,07
В распоряжение уполномоченного НКПС;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Военный Трибунал Октябрьской ж. д.;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05
Ленинградская ж. д.;0,1;0,1;0,2;0,3;0,3;0,2;0,3;0,3;0,3;0,3;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Октябрьская ж. д;2;2;2;3;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,15;2,1;2,1;2,05;2,05;2,05;2,4;2,4;2,4;5;3,5;2,7;0;1,4;1,8
Октябрьский вагонно­ремонтный завод;0;0,075;0,2;0,2;0,2;0,3;0,2;0,2;0,15;0,15;0,15;0,15;0;0;0;0;0;0;0,075;0,5;0,5;0,45;0,15;0,15;0;0,15;0,15
Пролетарский паровозный ремонтный завод;0;0,2;0,3;0,25;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,15;0,15;0,15;0,15;0,15;0,2;0,2;0,2;0,15;0,15;0,15;0;0,1;0,1
Строительство № 5;0,3;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,25
ЦОЗ;0;0;0;0;0;0;0;0;0,15;0,15;0,15;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод АГЭ;0,1;0,1;0,1;0,15;0,15;0,15;0,1;0,1;0,1;0,1;0,1;0,15;0,15;0,1;0,1;0,1;0,1;0,1;0,15;0,15;0,15;0,15;0,15;0,1;0;0,1;0,1
ЛАРЗ № 1;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,1;0,1;0,1;0,1;1;1;1;1,2;1,2;1,2;1;0,5;0,5;0;0,7;0,9
ЛАРЗ № 2;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,1;0,1;0,1;0,1;0,4;0,4;0,4;0,5;0,5;0,5;0,2;0,2;0,2;0;0,35;0,4
Ленстанция обслуживания;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,05;0,05;0;0,04;0,05
Рембаза № 26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,15;0,1;0,75;0,7;0;0;0;0;0;0;0
Станция обслуживания автомашин;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07;0,05;0,05;0,1;0,1;0,1;0;0;0;0;0;0
Шиноремонтный завод;0;0;0;0;0;0;0;0;0,15;0,15;0,15;0,2;0,1;0,1;0,1;0,2;0,2;0,25;0,35;0,35;0,45;0,4;0,3;0,35;0;0,25;0,3
Асбестовый завод;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0,05;0,05;0,05;0,05;0,05;0;0,04;0,05
Завод «Металлист»;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,08;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0;0,04;0,05
"Завод резиновой обуви и галош 
(с 60 пр. «Красный Треугольник»)";0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,15;0,15;0,2;0,25;0,25;0,25;0,25;0,25;0,25;0;0,2;0,25
"Завод резиновых 
технических изделий (РТИ)";0;0;0;0,2;0,1;0,1;0,1;0,1;0,2;0,2;0,3;0,3;0,2;0,2;0,2;0,15;0,15;0,25;0,3;0,25;0,25;0,25;0,25;0,25;0;0,2;0,25
Металлический завод № 523;0,5;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,07;0,05;0,05;0,05;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,05;0,1
Мехзавод;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
«Главрезина»;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Шинный завод / Шинно­ремонтный завод;0;0;0;0;0;0,1;0,1;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0,7;0,7;0,6;0,4;0,35;0;0,25;0,3
Завод ГИПХ;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,05;0,1;0,1;0,1;0,05;0,05;0,04;0,05
Завод «Комсомольская правда»;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,04;0,05
Завод «Красный химик»;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,07;0,05;0,07
Завод лаков и красок;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,075;0,075;0,075;0,1;0,1;0,1;0,07;0,07;0,1
Завод «Республика»;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,1;0,1;0,1;0,1;0,075;0,075;0,1;0,15;0,12;0,1;0,1;0,1
Завод художественных красок;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0,05;0,05;0;0;0;0,075;0,075;0,075;0,075;0,07;0,05;0,04;0,07
Литопонный завод им. Воровского;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Механический з д «Металлист»;0;0;0;0,05;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Невский химический завод;0;0;0;0;0;0;0;0;0;0,1;0,1;0,15;0,15;0;0,15;0,15;0,15;0,15;0,2;0,2;0,2;0,2;0,2;0,2;0,15;0,15;0,1
"Охтинский химический комбинат 
(Комбинат № 757)";1;0,5;0,5;0,7;0,5;0,5;0,5;0,5;1,5;1,4;1,5;1,5;1;0;1;1,5;1;1;1,4;1,3;1,3;1,3;1,3;1,25;1,2;1;1
Фабрика № 29;0;0;0;0;0;0,3;0,25;0,3;0,2;0,2;0,2;0,15;0,1;0;0,05;0,05;0;0;0;0;0;0;0;0;0,05;0,04;0,05
Главвторцветмет;0;0;0;0;0;0;0;0;0,2;0,2;0,2;0,3;0,2;0,15;0,15;0;0,1;0;0,1;0,05;0,05;0,05;0,05;0,05;0;0,04;0,05
Главцвет­метсбытсбыт;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05
Завод «Красный Выборжец»;0,1;0,1;0,2;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0;0,04;0,05
Завод № 5 ВАМИ;0,1;0,075;0,1;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0,1;0;0;0,25;0,2;0,2;0,15;0,15;0,15;0;0,1;0,2
Завод им. Ворошилова;0;0,2;0,2;0;0,25;0,25;0,35;0,4;0,3;0,3;0,2;0;0;0;0;0;0;0;0,25;0,05;0,05;0,1;0,1;0,1;0;0,05;0,07
Завод им. Котлякова;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод «Пневматика»;0;0;0,05;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ЛОК Главуглесбыт;0;0;0,05;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,15;0,5;0,5;0,45;0,3;0,2;0,2
Главметаллосбыт;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07;0,1
Главторчермет;0,3;0,2;0,3;0,5;0,45;0,2;0,3;0,3;0,3;0,3;0,3;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод «Вторчермет»;0;0;0;0;0;0,15;0,2;0,2;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод им. Молотова;0,2;0,2;0,2;0,2;0,15;0,25;0,5;0,5;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,15;0,15;0,15;0,35;0,35;0,4;0,4;0,4;0,5;0;0,35;0,4
Завод «Трубосталь»;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Автономная фабрика «Работница»;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,05;0,05;0,05;0,05;0,05;0,075;0,075;0,075;0,075;0;0;0;0;0
"В распоряжение начальника 
Глав  ленхлоппрома";0;0;0,4;0;0;0;0;0;0,4;0,35;0,35;0;0;0;0;0;0;0;0;0;0,15;0,1;0,1;0;0,1;0,07;0,1
Главтек  стильсбыт — торговая база;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,1
Комбинат им. Кирова;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Комбинат им. Тельмана;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Литейно­механический завод № 2;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,07;0,07;0,075;0,075;0,075;0,075;0,075;0,07;0,07;0,05;0,05
Суконная фабрика;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0,05;0,1;0,1;0,1;0,1;0,07;0,05;0,05
Фабрика «Ленсукно»;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Фабрика «Пролетарский труд»;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,05
Фабрика «Пятилетка»;0,1;0,2;0,2;0,2;0,2;0,2;0,25;0,1;0,25;0,25;0,2;0,2;0,2;0,15;0,15;0,35;0,15;0,15;0,15;0,15;0,15;0,35;0,35;0,35;0,25;0,25;0,1
Фабрика им. Слуцкой;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,08;0,08;0,075;0,075;0,075;0,075;0,075;0,07;0,07;0,05;0,1
Фабрика «Красное Знамя»;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,1;0
Фабрика «Гигровата»;0;0;0;0;0;0;0;0;0;0,05;0,05;0;0;0,05;0,05;0,05;0;0,1;0,075;0,075;0,075;0,075;0,075;0,07;0,05;0,04;0,05
Фабрика «Рабочий»;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,07;0,05;0,1
1 я меховая фабрика;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,07;0,05;0,05
Автономной фабрике им. Самойловой;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ГШФИЗ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0;0,05;0,05;0,05;0,05
Завод «Коминтерн»;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,05;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,07;0,05;0,05
Завод «Пролетарская победа» № 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,075;0,075;0,15;0,1;0,1;0,1;0,15;0,1;0,1
Завод «Пролетарская победа» № 2;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0,1;0,1;0,1;0,1;0,1;0,2;0,15;0,15;0,15;0,15;0,15;0,1;0,15
Завод «Рот  фронт»;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,07;0,05;0,05
Кожзавод «Марксист»;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0,1;0;0;0;0;0;0;0;0,15;0,15;0;0;0;0,1
"Ленинградское областное 
Управление легкой промышленности";0;0;0;0;0;0;0;0;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0,1;3,1;0,1;0,1;0,1;0,05;0,05;0,05
Фабрика «Красное Знамя»;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Фабрика «Скороход»;0,1;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0,1;0,1;0,1;0,15
Фабрика «Красный Парус»;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0,04;0,05
Фабрика «Союзутиль»;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,07;0,07;0,07;0,17
Фабрика «Кож  сырьеобработка»;0;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Главбумсбыт;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,04;0,04;0,04;0,04;0,03;0,04
Главбумснаб;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Главкарелбум пром;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0
Фабрика им. Володарского;0,1;0,1;0,1;0,2;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0,05;0,12;0,12;0,12;0,1;0,09;0,1
Фабрика им. М. Горького;0,2;0,15;0,1;0,4;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0,05;0,04;0,04;0,04;0,04;0,03;0,04
Фабрика «Технических бумаг»;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1 й молочный завод;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2 й молочный завод;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0,1;0,1;0;0;0,125;0;0;0;0;0;0;0;0
"В распоряжение уполномоченного 
Наркомясомол  прома";1;1;2,5;2,2;2;2;2;2;2;2;1,7;0;1,5;1,3;1;1;1;1;1,8;1,8;1,9;1,9;1,9;1,9;0;1,1;1,2
Колбасный завод № 2;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0,15;0;0;0,1;0,1;0;0,1;0,1;0,15;0,15;0,15;0;0,07;0,1
Ленмашмолзавод;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0,1;0,1;0,125;0,1;0,1;0,15;0,15;0,15;0;0,07;0,1
Ленмолкомбинат;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ленмясокомби­нат / Мясоком­бинат;0;1;0;0;0;0;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод «Стройме­ханизация»;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод им. Ломонсова;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2 я картонажная фабрика;0;0;0;0;0;0;0;0;0;0;0;0,05;0,1;0,05;0,05;0,1;0,1;0,1;0,075;0,075;0;0;0;0;0,05;0,04;0,05
2 я художественная литография;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05
4 я парфюмерная фабрика;0;0;0;0;0;0;0;0;0;0;0;0,1;0,15;0,08;0,08;0,1;0,1;0,1;0,05;0,05;0,05;0,1;0,1;0,05;0,05;0;0,07
5 я мармеладная фабрика;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0
Витаминный завод;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,05;0,05;0,05;0;0,1;0,075;0,075;0,05;0,05;0,05;0,05;0,07;0,05;0
Главпищетара;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,04;0,05
Завод № 3 им. Кирова;0;0;0;0;0;0;0;0;0;0;0,1;0,15;0,15;0,1;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,075;0,07;0,07;0,05;0,1
Завод «Вена»;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05
Завод им. Степана Разина;0;0;0;0;0;0;0;0;0;0;0,3;0,3;0,2;0,1;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,075;0,07;0,07;0,15;0,15
Завод «Красная Бавария»;0;0;0;0;0;0;0;0;0;0;0,5;0,6;0,4;0,2;0,2;0,2;0,15;0,25;0,4;0,4;0,4;0,4;0,4;0,4;0,5;0,4;0,6
Завод лимонной кислоты;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0;0,05;0;0,1;0,075;0,075;0,075;0,075;0,075;0,05;0,05;0,04;0,05
Завод «Салолин»;0;0;0;0,8;0,3;0,3;0,25;0,3;0,2;0,2;0,2;0,2;0,2;0,15;0,15;0,15;0,15;0,15;0,15;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,35
Завод углекислоты;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод фруктовых вод;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0
Кондитерская фабрика им. Микояна;0;0,5;0;0;0;0;0;0;0,5;0,5;0,5;0,5;0,6;0,6;0,6;0,6;0,6;0,6;0,4;0,4;0,4;0,4;0,4;0,5;0,45;0,3;0,45
Кондитерская фабрика Облпищепрома;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Конфетно­шоколадная фабрика 
им. Самойловой";0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ленвинзавод;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,12;0,15;0,15;0,15
Ленглавресторан;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Лендрожзавод;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1
Ленжиркомбинат;0;0;0;0;0;0;0;0;0;0;0;0,15;0,15;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,15;0,15;0,15;0,15
"Леноблпище  проснабсбыт 
для предприятий с утверждением уполномоченного Госплана";2;1;2;1,5;2;2;2,5;2,5;1,5;1,5;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ленхладоком­бинат;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ликероводочный завод;0;0;0;0;0;0;0;0;0,5;0,5;0,5;0,5;0,4;0;0;0;0,2;0,2;0,25;0,25;0,25;0,25;0,25;0,25;0,2;0,2;0,1
Макаронная фабрика им. Воровского;0;0;0;0;0;0;0;0;0,5;0,5;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Маслобойный завод № 7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,05;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05
Мех. заводу «Главхлеб»;0;0;0,15;0,2;0,15;0,15;0,15;0,2;0,15;0,15;0,2;0;0;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,15;0,15;0,1;0,07;0,1
Невский мыловаренный завод;0;0;0;0,15;0;0;0;0;0;0;0;0,15;0,15;0,15;0,15;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,15
Облпищепром;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0,05;0,05;0,05;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0;0,03;0,05
Сестрорецкий хлебокомбинат;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,1;0,075;0,075;0,075;0,075;0,075;0,07;0,05;0,04;0,05
Трест хлебопечения;50;50;50;50;50;50;50;50;50;48;48;48;37;35;32;28;27,5;27,5;33;32;34;34;34;33;0;25,7;28
Уксусный завод;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0,05;0,05;0,05;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05
Уполномоченный НК Пищепрома;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;0,07;0,05
Усть Ижорский хлебокомбинат;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,07;0,07;0,05;0,05;0,1;0,075;0,075;0,075;0,075;0,075;0,07;0,05;0,04;0,05
Фабрика им. Урицкого;0;0,3;0,2;0,3;0;0;0;0;1;1;1;0,5;0,4;0,4;0,4;0,5;0,4;0;0,45;0,45;0,45;0,5;0,5;0,5;0,4;0,3;0,45
Химико пищевой комбинат;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05
Холодильник № 4;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Холодильник № 6;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Шоколадная фабрика им. Крупской;0;0,5;0;0;0;0;0;0;0,7;0,7;0,7;0,7;0,4;0,2;0,2;0,2;0,25;0,2;0,5;0,5;0,6;0,6;0,6;0,6;0,5;0,4;0,55
Заготживсырье;0;0;0,5;0,5;0,4;0,4;0,3;0,3;0,2;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Заготзерно;0,5;0,2;0,3;0,3;0,2;0,2;0,2;0,2;0,15;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,15;0,15;0,15;0,1;0,1;0,15;0,15;0,15;0;0,07;0,1
Мелькомбинат им. Кирова;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0
Мелькомбинат им. Ленина;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,15;0,15;0,1;0,1;0;0,05;0,05;0,075;0,05;0,05;0,05;0,05;0,05;0;0,04;0,05
Главрыбсбыт;0;0;0;0;0;0;0,3;0,3;0,3;0,3;0,3;0;0;0,1;0,05;0,1;0,05;0;0;0;0;0;0;0;0;0;0
Завод «Пищевик»;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,1;0,12;0,15;0,15;0,15;0,25;0,25;0,25;0,25;0,2;0;0,1;0,1
Ленрыбпром  снаб — трест «Ленрыба»;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05
Трест «Ленрыба»;0;0;0,4;0,8;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1 й мединститут (больница им. Эрисмана);0,2;0,2;0,2;0,2;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,15;0,85;0,15;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,05;0,05;0,05
2 й мединститут (больница им. Мечникова);0,4;0,3;0,4;0,5;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,3;0,3;0,3;0,3;0,3;0,3;0,35;0,35;0,35;0,35;0,35;0,3;0,07;0,2;0,2
Больница им.Эрисмана;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод «Крас­ногвардеец»;0,1;0,2;0,2;0,25;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,3;0,2;0,2;0,2;0,2;0,15;0,15;0,3;0,3;0,3;0,3;0,3;0,25;0,2;0,15;0,25
Завод медсанте­хоборудования;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод МСТО;0;0,2;0,2;0,25;0,15;0,15;0,1;0,1;0,1;0,1;0,1;0;0;0,08;0,08;0,08;0,05;0,05;0,1;0,1;0,1;0,1;0,1;0,07;0,07;0,5;0,07
Завод «Фармакон»;0;0;0;0;0;0;0;0;0,15;0,25;0,25;0,25;0,15;0,1;0,1;0,1;0;0,05;0,075;0,075;0,075;0,075;0,075;0,07;0,05;0,05;0,05
