Предприятия;1 декада апреля;2 декада апреля;3 декада апреля;1 декада мая;2 декада мая;3 декада мая;1 декада июня;2 декада июня;3 декада июня;1 декада июля;2 декада июля;3 декада июля;1 декада августа;3 декада августа;1 декада сентября;2 декада сентября;3 декада сентября;1 декада октября;2 декада октября;3 декада октября;1 декада ноября;2 декада ноября;3 декада ноября;1 декада декабря;2 декада декабря;3 декада декабря;1 декада января
Горный институт; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,05;0,05;0,05;0,05; ; ; ; ; ; ; ; ; 
Горпрокуратура;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,15;0,08;0,07;0,07; ; ; ; ; ; ; ; ; 
Горсовет ОСОАВИАХИМ;;;;;;;;;;0,1;0,1;0,1; ; ; ; ; ; ; ; ;0,075;0,075;0,075;0,07;0,07;0,05;0,07
Горстатуправление; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,1;0,1;0,08;0,08; ; ; ; ; ; ;0,05; ;0,03
Горэвакомиссия; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,05;0,05;0,07
Издательство ЦО «Правда»; ; ; ; ; ; ; ; ;0,1;0,1;0,1;0,1;0,1; ;0,1;0,07;0,07;0,07; ; ;0,2; ; ; ; ; ; 
Институт точной механики и оптики;;;;;;;;;;;0,45;0,45;0,1;0,2;0,2;0,2;0,1;0,1;0,2;0,15;0,1;0,15;0,1;0,05; ;0,04;0,05
Курсы трактористов; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,2
ЛГК Госбанка;0,2;0,25;0,2;0,25;0,2;0,2;0,2;0,2;0,2;0,2; ;0,2;0,15;0,15;0,15;0,15;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,07;0,1
Ленинградский институт истории ВКПб; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,05;0,04;0,04
Ленокогиз; ; ; ; ;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,05; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
ЛенОКОГИЗ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,1;0,1;0,1;0,1;0,1;0,07;0,1
Лечсануправление спецназначения; ; ; ; ;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2; ; ;0,15;0,15; ; ; ; ; ; ; ; ; ; ; 
ЛЕНТАСС;0,1;0,2;0,2;0,2;0,15;0,15;0,15;0,2;0,15;0,15;0,15;0,15;0,15;0,1;0,1;0,07;0,05;0,1;0,1;0,1;0,25;0,1;0,1;0,12;0,12;0,1;0,1
Лентранзитсплав; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,4;0,2;0,2;0,15;0,2
ЛОК «Главнефтесбыт»;0,6;1;1;1;1;1;1;1;1;1;1;1;0,7;0,7;0,5;0,5;0,5;0,6;0,75;0,85;0,85;0,85;0,85;0,85; ;0,3;0,6
ЛОК Госбанка;0,1;0,1;0,1;0,25;0,15;0,15;0,15;0,2;0,15;0,15;0,2;0,15;0,15;0,15;0,15;0,15;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,07;0,1
ЛОК Комбанка;0,1;0,2;0,2;0,2;0,15;0,15;0,15;0,2;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15; ;0,2;0,2;0,2;0,2;0,2;0,2;0,15;0,2
ЛТУ Госрезервов; ; ; ; ; ; ;0,2;0,2;0,15;0,1;0,1;0,1;0,1;0,1;0,1; ;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,07;0,1
Музей им. Ленина;;;;;;;;;;;;;;;;;;;;;;;;;0,05;0,4;0,04
НИИ им. Павлова; ; ; ; ; ; ; ; ; ; ; ; ;0,1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Опытный завод ЦКТИ;;;;;;;;;;;;;;0,05;0,05;0,05; ; ; ; ; ; ; ; ; ; ; 
Осоавиахим (снаб.); ; ; ; ;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1; ;0,05;0,05; ; ; ; ; ; ;0,1;0,07;0,07;0,05;0,07
Политехнический институт;;;;;;;;;;;;;0,05; ;0,05;0,05; ;0,05; ;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,1
Редакция газеты «Известия»;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,08;0,05;0,05; ; ;0,05;0,05;0,05;0,05; ; ; 
Корреспондент. ЦО «Правда»;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,07;0,05;0,05; ; ; ; ; ; ; ; ; 
Редакция газеты ЦО «Правда»; ; ; ; ; ; ; ;; ; ;;;;;;;;; ;0,1; ;0,2;0,2;0,2;0,2;0,15;0,15
Союзпечать; ; ; ; ;0,1;0,05;0,05;0,1;0,04;0,04;0,04;0,05; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Статистическое управление;;;;;;;;;;0,05;0,05;0,1;0,1;0,05; ; ; ; ; ; ; ; ; ; ; ; ; 
Теапромснабкомбинат; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,05; ; 
Техникум точной механики и оптики;;;;;;;;;;;0,1;0,1;0,1;0,1;0,1;0,1; ; ; ; ; ; ; ; ; ; ; 
Типография «Печатный двор»; ; ;0,1;0,1;0,05;0,1;0,1;0,1;0,1;0,1;0,1;0,05;0,1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Типография газеты «На страже Родины»;;;;;;;;;;;;;;;;;;;;;0,05; ;0,05;0,05; ; ; 
Типография им. Соколовой;;;;;;;;;;;;;;;;;;;;;;;;;0,05;0,05;0,05
Топливная инспекция;;;;;;;;;0,06;0,06;0,06;0,1;0,1;0,1;0,1;0,1;0,1;0,1; ; ; ; ;0,1;0,1;0,1;0,07;0,1
УГТР; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,15; ; ; ; ; ; ; ; 
УКБС;;;;;;;;;;;;;;0,2;0,2;0,15;0,15;0,15; ; ; ;0,3;0,3;0,25;0,2;0,1; 
Университет; ; ; ; ; ; ; ; ;0,05;0,1;0,1;0,1; ;0,05; ; ; ; ; ; ; ; ; ; ; ; ; 
Управление издательств и полиграфии; ; ; ;0,1;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0,05; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Управление советских писателей; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,1;0,1;0,07;0,07;0,05;0,04
Управление трудовых резервов;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,05;0,05;0,05;0,05; ; ; ;0,1;0,15;0,05;0,05;0,05;0,05;0,05;0,1
"Управление сберегательных 
касс и госкредита"; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,1;0,1;0,1;0,1;0,07;0,1
Управление Коменданта Смольного; ; ; ; ; ; ; ; ;0,1;0,1;0,1;0,1; ; ;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,1;0,07;0,1
"Управление местной топливной
промышленности";;;;;;;;;;;;;;;;;;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,15;0,2
Управление НК Юстиции;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,08;0,05;0,05; ; ; ; ; ; ; ; ; 
Управлению делами ОК и ГК ВКПб; ; ; ; ;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,1;0,1
ЦКБ 22;;;;;;;;;;;;;;;0,05;0,05; ; ;0,1; ; ; ; ; ; ; ; 
Штаб партизанского движения; ; ; ; ;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0,05; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Эвакомиссия; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,15; ; ; ; ; 
Фабрика «Гознак»;;;;;;;;;;;;;;;;;;0,05;0,05;0,05;0,05;0,05;0,05;0,05; ; ; 
Управление домами НКФ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Главкинопрокат;;;;;;;;;;;;;;;;;;;;;;;;0,1;0,05;0,04;0,05
Завод «КИНАП»; ;0,05;0,05;0,05; ; ;0,05;0,1;0,05;0,05;0,05; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Лентехфильм; ; ; ; ;0,1;0,1;0,1;0,1;0,1;0,1;0,1; ; ;0,1;0,1;0,1; ;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
Ленфильм;;;;;;;;;;;;;;;;;;;;;0,05;0,05;0,05;0,1;0,1;0,07;0,1
Студия кинохроники;0,1;0,1;0,3;0,3;0,2;0,2;0,15;0,2;0,15;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,4;0,4;0,4;0,4;0,4;0,4;0,3;0,3;0,3
АТУЛ;65;67,5;65;70;70;70;70;70;70;70;75;85;48;48;48;48;47,4;48;58,6;58;58;58;58;57; ;39; 
Ленгорсовета; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Горземотдел;;;;;;;;;0,2;0,2;0,2;0,2; ;0,1;0,1;0,1;0,1;3,5;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,12;0,15
"Отд. ремонтно­монтажный 
батальон МПВО";2;2,2;3,2;3,5;3,3;3;3,2;3,2;3,3;3,3;3,3;4;2,5;2;2;2;2; ;3;3;3;3;3;3; ;1,75;2
"Предприятия и организации областного 
подчинения через Облплан";0,4;0,2;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3; ; ; ; ; ; ; ; ;0,25;0,25;0,25;0,25;0,25;0,2;0,2
Трансэнергокадры;;;;;;;;;;;;;;;;;;;;;;;;;0,15;0,1; 
Уполномоченный НК Совхозов;4;4;4;4;4;4;4;4;5;5;5;5;3;3;2;2;2;2;2;2;2;2;3;3; ;1,75;2,5
Штаб МПВО г. Ленинграда;71,4;73,9;72,5;77,8;77,6;77,3;77,5;78;78,8;78,8;83,8;98,5;53,5;53,1;52,1;52,1;51,5;53,5;63,75;63,15;63,4;63,4;64,4;63,4;0,55;42,92;4,85
АНИОП; ; ; ; ; ; ; ; ; ; ;0,25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Завод штурманских приборов;;;;;;;;;;;;0,05; ;0,05;0,05;0,05; ; ; ; ; ; ; ; ; ; ; 
Морстроймонтаж; ; ; ; ;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
"Научно испытательный морской
артиллерийский полигон"; ; ; ; ;0,2;0,2;0,2;0,2;0,2;0,2;0,15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1 я мебельная фабрика;;;;;;;;;;;;;;;;;;;;0,05;0,05;0,05;0,05; ; ; ; 
Артель «Кожкустпром»;;;;;;;;;;;;;;;;;;;1,2;1,1; ; ; ; ; ; ; 
Артель «Ленэмальер»;;;;;;;;;;;;;;;;;;;0,1;0,1; ; ; ; ; ; ; 
Артель «Металлист»;;;;;;;;;;;;;;0,05;0,05; ; ; ;0,2;0,2; ;0,05; ; ; ; ; 
Артель «Примус»;;;;;;;;;;;;;;;;;;;;;;0,05;0,05;0,05;0,05;0,05;0,05
Артель электроприборов; ; ; ; ; ; ;0,1;0,1;0,1;0,1;0,1; ; ;0,05;0,05;0,1; ; ; ; ; ; ; ; ; ; ; 
Артель электротехприборов;;;;;;;;;;;;;;;;;;;0,2;0,2;0,2;0,05;0,05;0,05;0,05;0,04;0,05
Завод им. Радищева;;;;;;;;;;;;0,05; ;0,05;0,05;0,05;0,05;0,05;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,07;0,1
Завод кассовых аппаратов;;;;;;;;;;;;;;;;;;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,07; ;0,07
Завод «Красная Звезда»; ; ; ; ; ; ; ; ; ; ;0,25; ; ; ; ;0,1; ; ;0,15;0,15;0,15;0,1;0,1;0,1;0,1;0,07;0,1
Завод «Металлист»; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,1; ; ; ; ;0,2; ;0,05;0,05;0,05;0,04;0,05
Завод металлоизделий; ; ; ; ;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1; ;0,1;0,1;0,1;0,1
Завод пластмасс;;;;;;;;;;;0,2;0,2;0,1; ; ;0,05; ; ;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05
Завод «Промет»; ; ; ; ; ; ;0,2;0,2;0,15;0,15;0,15; ; ; ; ; ; ; ; ; ; ; ;0,25;0,25;0,15;0,1;0,1
Завод «Северный Пресс»;;;;;;;;;0,05;0,05;0,05; ; ;0,05; ;0,05;0,1;0,1;0,1;0,1;0,2;0,2;0,15;0,1;0,1;0,1;0,1
Зеркальная фабрика; ; ; ; ;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,075;0,075;0,075;0,075;0,075;0,07;0,07;0,05;0,05
Картографическая фабрика; ; ; ; ; ; ; ; ; ; ; ;0,05; ; ; ; ; ; ; ; ; ; ; ; ;0,07;0,05;0,05
Кинокопировальная фабрика; ; ; ; ; ; ; ; ; ; ; ;0,1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Кожзавод «Марксист»;;;;;;;;;;;;0,1;0,1;0,1;0,1;0,05;0,1;0,1;0,1;0,1;0,15; ; ;0,15;0,15;0,1; 
Металлкомбинат;;;;;;;;;;;;;;0,1;0,1;0,07; ; ;0,15;0,15;0,1;0,2;0,2;0,15;0,1;0,07;0,1
Завод «Невгвоздь»; ; ; ; ; ;0,2;0,2;0,2;0,15;0,15;0,15;0,15;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
Отдел местной промышленности;;;;;;;;;;;;;;;;;;;;;;3;2,5;2,5;2;1,5;2
"Ремонтно механический 
завод Ленгорводопровода"; ; ; ; ; ; ; ; ; ; ;0,5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Фабрика «Большевичка»;;;;;;;;;;;;0,05;0,05;0,05;0,05;0,05; ; ;0,1;0,1;0,1;0,1;0,1;0,07;0,07;0,05;0,05
Фабрика «Граммофон»; ; ; ; ; ; ;0,05;0,1;0,05;0,05;0,3;0,3; ;0,1;0,1;0,15;0,1;0,1;0,2;0,2;0,2;0,2;0,15;0,15;0,15;0,15;0,1
Фабрика дамского и детского платья; ; ; ; ; ; ; ; ; ; ; ;0,05; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Фабрика им. Бебеля;;;;;;;;;;;;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,075;0,075;0,1;0,1;0,1;0,07;0,07;0,05;0,05
Фабрика им. Володарского (швейная);;;;;;;;;;;;0,05;0,05;0,05;0,05;0,5; ; ;0,1;0,1;0,1;0,1;0,1;0,07;0,07;0,05;0,05
Фабрика им. Самойловой;;;;;;;;;;;;0,05;0,05;0,05;0,05;0,05; ; ; ; ; ; ; ; ; ; ; 
Фабрика индивидуальных заказов; ; ; ; ; ; ; ; ; ; ; ;0,05; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Фабрика «Комсомолка»; ; ; ; ; ; ; ; ; ; ; ;0,05; ; ; ; ; ; ;0,1;0,1;0,1;0,1;0,1;0,07;0,07;0,05;0,05
Фабрика «Красная Работница»; ; ; ; ; ; ; ; ; ; ; ;0,05; ; ; ; ; ; ;0,075;0,075;0,075;0,075;0,075;0,05;0,05;0,05;0,05
Фабрика «Красный водник»;;;;;;;;;;;;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05
Фабрика «Красный швейник»; ; ; ; ; ; ; ; ; ; ; ;0,1; ; ; ; ;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05
Фабрика «Пролетарская победа № 1»;;;;;;;;;;;;0,05;0,05;0,05;0,05;0,5;0,05;0,05; ; ; ; ; ; ; ; ; 
Фабрика фотобумаг № 4; ; ; ; ; ; ; ; ; ; ; ;0,05; ; ; ;0,05;0,05;0,05;0,075;0,05;0,05; ;0,05;0,05;0,05;0,04;0,05
Балтехфлот;;;;;;;;;0,8;0,8;0,8;0,8; ;0,3;0,4;0,4; ;0,4; ;0,45;0,45;0,45;0,45;0,45;0,4;0,3;1
Деревообделочный Комбинат;;;;;;;;;;0,15;0,2; ; ; ; ;0,05; ; ;0,1;0,1; ; ;0,05;0,05;0,15;0,1;0,15
Завод им. Ломоносова; ; ; ; ; ; ; ; ; ; ;0,15; ; ;0,05;0,05;0,05; ;0,05; ;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,1
Завод «Станкоин­струмент»; ; ; ; ; ; ; ; ; ; ;0,05; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Завод «Электро­инструмент»;;;;;;;;;0,1;0,1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
"Особо Проектно­монтажное 
управление № 28";;;;;;;;;0,05;0,05;0,05; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Особо строительно монтажная часть № 40;;;;;;;;;;;;;;;0,2;0,2;0,15;0,15;0,15;0,15;0,15;0,2;0,2;0,15;0,1; ;0,13
ОСУ № 7;;;;;;;;;;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Союзтеплострой;;;;;;;;;0,05;0,05;0,05; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Трест № 40;;;;;;;;;1; ;0,2;0,2; ;0,2; ; ; ; ; ; ; ; ; ; ; ;0,1; 
Чугунно­литейный завод; ; ; ; ; ; ;0,1;0,1;0,1;0,1;0,2;0,2;0,1;0,05;0,05;0,05;0,15;0,15; ;0,15;0,15;0,15;0,15;0,15;0,15;0,1;0,15
3 я мебельная фабрика; ; ; ; ; ; ; ; ; ; ;0,15; ; ; ; ;0,15;0,1;0,1;0,15;0,1; ; ; ;0,1;0,1;0,07;0,1
Лесной порт;;;;;;;;;;0,2;0,2; ; ;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,15;0,15;0,15;0,15;0,1;0,07;0,01
Ленлеспродторг;;;;;;;;;;;;;;;;;;;;;1,1;1,1;1,1;1;0,9;0,7;0,8
Трест «Лентраз  итсплав»; ; ; ; ; ; ; ; ; ;0,05; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; 
Лесосбыт;;;;;;;;;;;;;;;;;;;0,1;0,15;0,15;0,15;0,15;0,15;0,1;0,07;0,1
Лесотехническая академия;;;;;;;;;;;;;;;;;;;;;0,05;0,05; ; ; ; ; 
Трест «Лентранзитснаб»; ; ; ; ; ; ; ; ;0,05; ;0,05; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Деревообделочный комбинат; ; ; ; ; ; ; ; ; ;0,2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
"Ленгоруправление промышлен­ности 
стройматериалов";;;;;;;;;0,1;0,1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Слюдяная фабрика № 1;;;;;;;;;0,1;0,1;0,1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Завод им. Ломоносова;;;;;;;;;0,15;0,15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Лентехторгснаб;;;;;;;;;0,05;0,05;0,05;0,05; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Спецторг;;;;;;;;;0,5;0,5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
16 й строительный трест; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; 
21 я типография им. Ивана Федорова;;;;;;;;;;;;;;;;;;;0,2;0,2;0,2;0,2;2;0,2;0,3; ;0,15
26 мастерских НКВД; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,1; ; ; ; ; ; ; ; ; ; ; 
Балттехфлот; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
ГИПХ;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;
Для набивки ледников;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Для перевозки продовольствия;20;20;20;21,5;20;20;20;20;20;20;20;20;14;14;14;14;14;14;16,8;16,8;16,8;16,8;16;16,8; ;11,4;14
Заготовка хвои; ;2;2;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ижорский завод, на кремацию;;;;;;;;;;;;;;;;;;;;;;;;;;;
Исполком Кронштадского райсовета;;;;;;;;;;;;;1;1;1; ; ;1;1,2;1,2;1,2;1;1;0,6; ;0,4;0,5
Исполком Ленгорсовета;;;;;;;;;;;;;;;;;;;;;;;;;;;49
Лензаготплодоовощторг;;;;;;;;;;;;;;;11;3; ; ; ; ; ; ; ; ; ; ; 
Лензаготплодоовощторг, на заготовку хвои; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;0,7;1
Ленлес;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;
Ленспродторг; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,4; ; ; ; ; ; ; ; ; ; ; ; 
Леспродторг;;;;;;;;;1;1;1;1; ;0,6; ; ;0,7;0,8;0,9;0,9; ; ; ; ; ; ; 
Леспромтрест;5;6;6;6;15;15;20;20;19;22;22; ;15;16;15;15;15;16;20;20;26,5;26,5;26,5;30; ;25;30
Лечсануправление спецназначения;;;;;;;;;;;;;;;;;0,13;0,13;0,15;0,1;0,1;0,1;0,1;0,1;0,1;0,07; 
Мастерские БГМП;;;;;;;;;;;;;;;;;;;0,1;0,1;0,1;0,05;0,05;0,05; ; ; 
Мастерские ГОИ;;;;;;;;;;;;;;;;;;;0,15;0,15;0,15;0,1;0,1;0,07;0,05;0,04;0,05
Мастерские ЛГИ;;;;;;;;;;;;;;;;;;;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05
Мастерские Ленгорводпровода;;;;;;;;;;;;;;;;;;;0,15;0,15; ; ; ; ; ; ; 
Мастерские ЛТИ;;;;;;;;;;;;;;;;;;;0,05;0,05;0,05;0,05;0,05;0,05; ; ; 
Мастерские ЛХТИ;;;;;;;;;;;;;;;;;;;0,1;0,1;0,1;0,05;0,05;0,05;0,05;0,04;0,05
На заготовку топлива; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;35; ;29,2;35
На очистку города;30;26;17;12;15;15;15;15;10;15;15;15;6;6;6;6;6;6;7,2;7,2;7,2;7,2;7,2;7,85; ;8;8
На перевозку зерна;;;;;;;;;;;;;;;;;;2;2,4; ; ; ; ; ; ; ; 
На ремонт электростанций;;;;;;;;;;;3;6;4;4;3;2;1;1; ; ; ; ; ; ; ; ; 
На эвакуацию населения;;;;;;;;;;;3;4;1;0,5; ; ;0,3;0,3;0,15; ; ; ; ; ; ; ; 
На эвакуацию оборудования и материал;;;;;;;;;10;4;4;5;2;2;1,5;1,5;1,5;1,5;1,8;1,8;3,5;3;3; ; ; ; 
"Обеспечение судоремонта 
и строительства барж";20;1;2;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
"Перевозка дров, заготавливаемых 
промпредприятиям";;;;;;;;;;;;;;;;;;5;17;10;5;5;5; ; ; ; 
"Перевозка топлива по распределению 
уполномоченного Госплана СССР";8;6;6;8;5;5;5;5;5;5;5;5;2;2,5;1,5;1,5;1,5; ; ; ; ; ; ; ; ; ; 
"Промпредприятиям по распределению 
Уолгосплана"; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ;4,2;5
Реконструкция котлов; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Союзтранспроект;;;;;;;;;;;;;;;;;;;;;;;;;0,05;0,04;0,05
Спецперевозки оборонного значения;4;3;4;4;3;3;3;3;3;3;3;3;2;2;1;1;1;1,5; ; ; ; ; ; ; ; ; 
Строительство газоубежищ;1;3;3;3;3;3;3;3;3;3;3;4;1;1;1;1;1;1;1,2;1,2;1,2;1,2;1;1; ;0,35; 
Типография № 2 им. Ворошилова;;;;;;;;;;;;;;;;;;;;;;;;;;0,04;0,05
Трест пригородного хозяйства;;;;;;;;;;;;;;;;;;;;5;5;5;3;2; ;1;1
Фабрика «Красный Маяк»;;;;;;;;;;;;;;;;;;;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05
ЭМТ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,3; ; ; ; ; ; ; ; ; 
ЭПРОН; ;3;2;1; ;1;1;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
"Для обеспечения особых заданий 
Военного Совета Ленфронта";;;;;;;;;;;;;;;;;;;;;;;15; ; ; ; 
Спецперевозки;;;;;;;;;;;;;;;;;;;1,2;1,2;1,2;1,2; ; ; ; ; 
Резерв уполномоченного Госплана;2,65;1,5;4,9;4,75;4,8;5,3;6,4;6,4;5,33;4,18;3,8;4,8;2,55;4,7;3,1;2,17;2,1;3;3;3;3;6,05;5;3,31;2,22;1,28;2,15
Резерв по боеприпасам; ; ; ; ; ; ;7;7;5;2,7;3;5;2;2;2;2;2,5;2;2;2;2;2; ; ; ; ; 
