1 decade april;2 decade april;3 decade april;1 decade may;2 decade may;3 decade may;1 decade june;2 decade june;3 decade june;1 decade july;2 decade july;3 decade july;1 decade august;3 decade august;1 decade september;2 decade september;3 decade september;1 decade october;2 decade october;3 decade october;1 decade november;2 decade november;3 decade november;1 decade december;2 decade december;3 decade december;1 decade january
0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,1;0,1;0,2;0,1;0,1;0,25;0,25;0,25;0,2;0,1;0,15;0;0,1;0,1
0,1;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,5;1;1;0,5;0,7;0,7;1;0,7;0,7;1;1;1,1;1;0,9;0,8;0;0,5;0,7
0,2;0,3;0,2;0,3;0,2;0,4;0,5;0,5;0,5;0,5;0,75;0,75;0,5;0,5;0,5;0,75;0,5;0,6;1;1;1,2;1,2;1,1;1;0;0,7;0,8
0,5;0,2;0,3;0,4;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,2;0,2;2;2;0;2,4;1,4;1,5;1,5;1,2;1,1;0;0,7;0,7
0,2;0,4;0,5;0,7;0,5;0,5;0,5;0,5;0,5;0,5;0,75;0,8;0,5;0,4;0,45;0,8;0,6;0,8;1;1;1,2;1,1;1;1;0;0,7;0,8
0,3;0,55;0,5;0,7;0,5;0,8;1;1;1;1;1;1;0,5;0,5;0,5;0,8;0,6;0,7;1,6;1,6;1,8;1,6;1,5;1,4;0;1;1
0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0;0,1;0,1;0,07;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0;0,07;0,1
0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0,1;0,1;0,05;0,05;0,2;0,2;0,2;0,15;0,15;0,1;0;0;0,05
0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,1;0,2;0,4;0,5;0,4;0,4;1;1;0,75;0,75;0,7;0,7;0,5;0,5;0,5;1;0,6;0,6;1,2;1,2;1,3;1,2;1,2;1;0;0,7;0,9
0,3;0,25;0,5;0,8;0,7;0,7;0,75;0,8;1;1;2;2;1,2;1;1;1,5;1;1;3;3;3;2,75;2,75;2,7;0;2;2
0;0;0;0;0;0,2;0,2;0,2;0,15;0,15;0,4;0,4;0,2;0,15;0,15;0,4;0,2;0,2;0,7;0,7;0,7;0,6;0,6;0,5;0;0,3;0,3
0,1;1,5;1,2;0,8;0,6;0,6;0,65;0,7;0,75;0,75;1,5;1,5;1;1;1;2;2,2;1,2;1,4;1,3;2;2;2,5;2,2;0;1,4;1,75
0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0,05;0,05;0,05;0,05;0;0;0;0;0;0;0
0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;0,05
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05
0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0,05;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,15;0,1;0,1;0,1;0,1;0,07;0,07;0,075;0,075;0;0;0,05;0,05;0;0,05;0,05
0,1;0,2;0,2;0,2;0,15;0,15;0,15;0,2;0,1;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,1;0,2;0,2;0,25;0,2;0,2;0,1;0,1;0,1;0,1;0,05;0,15;0,1;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,075;0,075;0,07;0;0,05;0,07
0,1;0,1;0,2;0,2;0,15;0,15;0,1;0,1;0,1;0,1;0,1;0,15;0,1;0,1;0,1;0,1;0,08;0,08;0,075;0,075;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,1;0,2;0,3;0,25;0,2;0,2;0,2;0,2;0,25;0,25;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,2;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,25;0,2;0,2;0,35;0,35;0,35;0,25;0,25;0,25;0;0,2;0,2
0;0,15;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,25;0,2;0,3;0,5;0,5;0,5;0,5;0,5;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,6;1;1;0,7;0,5;0,6;0;0,45;1,2
0,75;0,6;0,6;1;1;0,9;1;1;1;1;1;1;0,6;0,6;0,6;1;1,8;1;1;1;1,5;1,4;2;1,7;0;1,3;1,5
0;0;0;0;0;0;0;0;1;0,6;0,6;0,5;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0;0,35;0,35;0,25;0,2
0,5;0,5;0,5;1;0;0;0;0;0;0;0;0;1,5;0,8;1;0,4;0,5;0,6;0,25;0;0,5;0;0,4;0,3;0;0,15;0
0;0;0;0;0,1;0,2;0,25;0,3;0,25;0,25;0,15;0,1;0;0;0;0;0;0;0;0,25;0;0,4;0;0;0;0;0,1
0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,3;0,6;0;0,6;0;0,3;0,5;0;0,35;0,3
0;0;0;0;0,05;0,05;0,05;0,1;0,05;0,1;0,1;0;0;0;0;0;0;0;0,2;0,15;0,15;0,15;0,15;0,1;0;0,07;0,1
0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0,05;0,05;0,2;0,2;0,2;0,2;0,05;0,1;0;0;0;0;0,2;0,3;0,4;0,4;0,4;0,35;0,3;0,2;0;0,1;0,15
0;0;0;0;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,8;0;0,25;4;3;2,5;2,7;3,5;3,5;3,5;2,4;2;2;0;1,8;2
0;0;0;0;0,2;0,2;0,2;0,2;0,1;0,1;0,1;0,15;0;0;1;0,5;1,9;0,5;0,6;0,6;0,6;0,5;0,5;0,65;0;0,4;0,6
0;0;0;0;0,35;0,35;0,2;0,2;0,1;0,1;0,1;0,15;0;0;1;0,5;4,4;1,5;1,8;1,8;1,8;1,7;1,7;1,7;0;0,8;1
0;0;0;0;0,15;0,15;0,15;0,2;0,1;0,1;0,1;0,2;0;0,1;0;0,15;3;1;1,4;1,4;1,4;1,3;0,8;1,15;0;0,6;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,1
0;0;0;0;0,05;0,05;0,15;0,2;0,15;0,15;0,35;0,35;0;0,25;0;0,25;2,1;0,1;1;0,35;1;0,9;0,8;0,6;0;0,45;0,6
0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,05;0;0;0,1;0;0,05;0;0;0,1;1;0,1;0,1;0,1;0,1;0;0,2;0,25
0;0;0;0;0,05;0,05;0,05;0,1;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,15;0;0;0;0;1,5;0,3;0,35;0,35;0,35;0,3;0,3;0,4;0;0,25;0,3
0;0;0;0;0;0;0;0;0,05;0,05;0,05;0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,1;0;0,05;0
0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,07;0,15
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0,4;0,3;0,1;0;0,04;0,12
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,35;0,35;0,35;0,3;0,15;0,2;0;0;0,05
0,2;0,15;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;0;0,1;0,1;0,07;0,1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0,5;0,5;0,5;0,1;0,4;0,5
15;15;15;15;15;15;15;15;15;15;15;15;10;10;8;7;7;7;8,4;8,4;8,4;11;10;9;8,5;6;7
0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0,25;0,25;0,2;0;0;0;0;0;0;0,15;0,15;0;0;0;0;0;0;1,2;0;0,4;0,45;0,4;0,5;0,4;0,4;0,5
0,3;0,2;0,2;0,2;0,2;0,2;0,2;0;0,2;0,2;0,2;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,15;0,15;0,15;0,15;0,15;0,1;0,15
0;0;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0;0;0;0;0;0;0;0,2;0,2;0,2;0,15;0,1;0,1;0,1
